Date,Time,Auction Name,Contract,Auction Price eur/tCO2,Minimum Bid eur/tCO2,Maximum Bid eur/tCO2,Mean eur/tCO2,Median eur/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue eur,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Italy
(IT)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)"
12/13/16,11:00,EU,T3PA,4.82,3.85,5.20,4.74,4.73,"3,664,000","9,168,000",53,10,2.94,"172,981","509,333","816,183","523,429","989,864",2.50,18,7,17660480,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/16,11:00,EU,T3PA,4.65,3.45,5.50,4.50,4.54,"3,664,000","8,924,000",66,12,3.88,"135,212","524,941","776,671","523,429","700,758",2.44,17,7,17037600,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/16,11:00,DE,T3PA,4.48,3.45,5.00,4.37,4.42,"3,495,000","8,644,000",74,14,4.35,"116,811","508,471","688,577","388,333","425,803",2.47,17,9,15657600,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/16,11:00,EU,T3PA,4.23,3.45,5.01,4.23,4.24,"3,664,000","7,323,000",66,39,3.88,"110,955","430,765","801,215","261,714","396,329",2.00,17,14,15498720,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/16,11:00,EU,T3PA,4.15,3.45,4.75,4.05,4.05,"3,664,000","10,547,500",89,16,4.94,"118,511","585,972","770,669","407,111","478,983",2.88,18,9,15205600,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/16,11:00,EU,T3PA,4.16,3.20,4.75,4.11,4.15,"3,664,000","8,656,000",86,32,5.38,"100,651","541,000","586,742","305,333","402,474",2.36,16,12,15242240,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/16,11:00,DE,T3PA,4.32,3.50,4.80,4.30,4.31,"3,495,000","7,635,000",75,27,4.69,"101,800","477,188","560,104","291,250","360,670",2.18,16,12,15098400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/16,11:00,EU,T3PA,4.44,3.45,5.50,4.36,4.41,"3,664,000","8,567,000",76,24,3.80,"112,724","428,350","516,813","281,846","350,352",2.34,20,13,16268160,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/16,11:00,EU,T3PA,4.56,3.45,5.10,4.50,4.57,"3,664,000","7,140,000",70,40,4.38,"102,000","446,250","528,593","244,267","369,299",1.95,16,15,16707840,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/16,11:00,EU,T3PA,4.80,3.50,5.90,4.86,4.84,"3,664,000","6,375,000",54,36,3.38,"118,056","398,438","481,508","244,267","318,304",1.74,16,15,17587200,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/16,11:00,DE,T3PA,5.05,3.45,5.50,4.92,5.10,"3,495,000","6,768,000",63,42,3.94,"107,429","423,000","430,208","249,643","275,990",1.94,16,14,17649750,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/16,11:00,EU,T3PA,5.29,3.45,5.60,5.11,5.28,"3,664,000","8,285,000",74,34,4.35,"111,959","487,353","538,565","305,333","300,126",2.26,17,12,19382560,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/16,11:00,EU,EAA3,5.46,4.88,5.55,5.26,5.31,"681,500","2,146,500",44,8,4.40,"48,784","214,650","245,137","113,583","83,332",3.15,10,6,3720990,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/16,11:00,EU,T3PA,5.42,3.45,6.00,5.22,5.41,"3,664,000","8,842,000",78,35,3.90,"113,359","442,100","464,887","215,529","327,869",2.41,20,17,19858880,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/16,11:00,EU,T3PA,5.44,4.00,5.75,5.36,5.42,"3,664,000","7,011,000",77,33,4.53,"91,052","412,412","584,323","261,714","377,773",1.91,17,14,19932160,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/16,11:00,DE,T3PA,5.73,3.45,6.30,5.53,5.74,"3,495,000","7,127,000",79,44,4.65,"90,215","419,235","490,481","233,000","279,307",2.04,17,15,20026350,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/16,11:00,EU,T3PA,5.60,3.45,6.00,5.40,5.55,"3,664,000","11,653,000",85,25,4.25,"137,094","582,650","740,495","281,846","327,629",3.18,20,13,20518400,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/16,11:00,EU,T3PA,5.55,3.45,6.50,5.39,5.54,"3,664,000","9,279,000",79,30,4.65,"117,456","545,824","969,617","281,846","375,144",2.53,17,13,20335200,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/16,11:00,EU,T3PA,5.54,3.45,6.00,5.35,5.52,"3,664,000","7,189,000",68,29,3.40,"105,721","359,450","429,974","215,529","278,305",1.96,20,17,20298560,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/16,11:00,DE,T3PA,5.85,3.45,6.30,5.60,5.82,"3,495,000","7,457,000",62,23,3.65,"120,274","438,647","759,936","291,250","496,751",2.13,17,12,20445750,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/16,11:00,EU,T3PA,5.95,3.45,6.30,5.66,5.95,"3,664,000","6,410,500",58,29,3.22,"110,526","356,139","476,013","229,000","295,555",1.75,18,16,21800800,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/16,11:00,EU,T3PA,6.10,3.45,6.50,5.73,6.05,"3,664,000","9,551,000",60,19,4.29,"159,183","682,214","925,579","366,400","674,275",2.61,14,10,22350400,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/16,11:00,EU,T3PA,6.46,5.00,6.80,6.38,6.45,"3,664,000","8,030,000",58,24,3.63,"138,448","501,875","669,432","305,333","368,380",2.19,16,12,23669440,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/16,11:00,DE,T3PA,6.54,3.45,6.99,6.02,6.47,"3,495,000","8,666,500",60,14,3.16,"144,442","456,132","760,922","388,333","476,108",2.48,19,9,22857300,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/16,11:00,EU,T3PA,6.35,3.45,6.55,5.95,6.27,"3,664,000","10,788,500",76,19,4.47,"141,954","634,618","844,673","407,111","316,243",2.94,17,9,23266400,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
